ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",64.81125,AWm_64_a,,,,,,,,,,,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",108.01875,IWm_61_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,123.45,KDo_60_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,123.45,GDm_61_a,0.95,REN_03_a,0.19,REN_03_a,0.19,REN_03_a,0.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,142.5477815,DAI_60_a,1.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,23.82,Win_60_w,2.3,,,Win_01_p,1.5,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,Doo_01_r,1-0,Doo_01_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-10-14-13-62-49-62-49,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,251-4168-1287-98,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-1961-1980-11,AT,Residential,Single-family house (SFH),1961,1980,Standard,Masonry,143.8,115,2.546360365,539,2,1,3,534570,67356,37420,6415,13013,0.876897133,0.118043845,0.005059022,163,154.85,98.4,69.9,35.73,19,217,207,131,94,6.07,28,3.4,30.6,10765.60299,127.2,Foundation,71.9,Efo_70_a,2.44,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.05,Adapted to fit NEA,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,75.97530546,AWm_63_a,0.94,,,,,,,wood central heating,PEL_01_r,0.5,Adapted to fit NEA,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,71.9,GDm_72_a,0.775193798,,,REN_02_a,0.16,REN_02_a,0.16,"oil central heating, standard boiler",OIL_01_r,0.1,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,179.94,AWm_72_a,0.94,,,REN_01_a,0.24,REN_01_a,0.11,heat pump,HEP_01_r,0.15,Adapted to fit NEA,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",37.7475,AWm_72_a,,,,,,,,electric direct heating,ELE_01_r,0.2,Adapted to fit NEA,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",62.9125,IWm_72_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,71.9,GDm_72_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,71.9,GDm_74_a,0.87,REN_04_a,0.22,REN_04_a,0.22,REN_04_a,0.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,83.02296871,DAI_71_a,0.87,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,21.61,Win_70_w,2.6,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,Doo_01_r,1-0,Doo_01_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-6-8-7-36-28-36-28,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,146-2428-750-57,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-1981-1990-11,AT,Residential,Single-family house (SFH),1981,1990,Standard,Masonry,177.9,142.2962642,3.130338935,587,3,1,3,231261,29139,16188,2775,5629,0.868644068,0.127118644,0.004237288,131,124.45,74.6,57.2,42.44,19,175,167,100,77,7.21,28,3.4,30.6,10765.60299,127.2,Foundation,59.3,Efo_80_a,0.65,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.2,Adapted to fit NEA,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,103.4967269,EAm_80_a,3.59,,,,,,,pellets central heating,PEL_01_r,0.45,Adapted to fit NEA,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,59.3,KDo_81_a,0.54,,,REN_02_a,0.15,REN_02_a,0.15,"oil central heating, standard boiler",OIL_01_r,0.2,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,304.92,AWm_83_a,0.43,,,REN_01_a,0.23,REN_01_a,0.11,heat pump,HEP_01_r,0.15,Adapted to fit NEA,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",46.69875,IWm_81_a,,,,,,,,,,,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",77.83125,IWm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,118.6,GDm_81_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,59.29,DAI_80_a,0.41,REN_07_a,0.17,REN_07_a,0.17,REN_07_a,0.08,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,37.06,Win_80_w,1.1,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-12,Doo_01_r,,,,Doo_01_r,1-0,Doo_01_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-7-10-9-45-35-45-35,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,181-3003-928-70,ELI_01_r,,,,,,,,,,,,,,
