ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,223.9726472,AWm_18_a,0.78,,,REN_01_a,0.231428571,REN_01_a,0.124285714,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",309.5515681,IWm_18_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",515.8992211,IWm_18_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,536.8785621,GDm_55_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,134.2196405,GDm_55_a,0.8375,REN_03_a,0.225,REN_03_a,0.225,REN_03_a,0.11375,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,189.815236,DAI_18_a,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,82.54507892,Win_18_k,3.2,,,Win_01_p,1.225,Win_02_p,1.1425,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HEA-1945-1969-21,AT,Non-residential,Health (HEA),1945,1969,Standard,Concrete,595.2886238,488.1366715,76.75104897,1785.865871,5,10,0,8133,683,201,98,198,0.833333333,0.166666667,0,193.13,183.4735,114.9864205,72.00974465,74.11,23.87,176.69,167.8555,105.1983153,65.87998645,47.43,24.82,24.26141124,43.13139776,0,500.7110382,Foundation,119.0577248,Efo_61_a,2.44,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,244.4144103,EAm_62_a,2.688571429,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,119.0577248,KDo_63_a,1.5,,,REN_02_a,0.175,REN_02_a,0.175,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,211.3955619,AWm_66_a,0.48,,,REN_01_a,0.225,REN_01_a,0.13,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",274.5835501,IWm_75_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",457.6214571,IWm_74_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,476.230899,GDm_76_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,119.0577248,DAI_74_a,0.7,REN_03_a,0.2,REN_03_a,0.2,REN_03_a,0.1075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,73.22050072,Win_50_k,3.4,,,Win_01_p,1.425,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HEA-1970-1979-21,AT,Non-residential,Health (HEA),1970,1979,Standard,Concrete,606.4325321,497.2746763,83.65368386,1819.297596,5,10,0,6815,572,168,82,166,0.833333333,0.166666667,0,106.11,100.8045,68.09163998,41.34103089,74.85,23.87,134.76,128.022,86.47657529,52.50322611,47.9,24.82,24.26141124,43.13139776,0,509.940423,Foundation,121.2865064,Efo_61_a,2.44,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.6915431,EAm_62_a,2.545714286,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.2865064,KDo_63_a,1,,,REN_02_a,0.165,REN_02_a,0.165,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.2962156,AWm_66_a,0.48,,,REN_01_a,0.225,REN_01_a,0.1275,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.7238027,IWm_75_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",466.1882117,IWm_74_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,485.1460256,GDm_76_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.2865064,DAI_74_a,0.6,REN_06_a,0.1975,REN_06_a,0.1975,REN_06_a,0.1175,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.59120144,Win_70_w,2.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HEA-1980-1989-11,AT,Non-residential,Health (HEA),1980,1989,Standard,Steel,603.1918048,494.6172799,81.67991779,1809.575414,5,10,0,4124,346,102,49,100,0.833333333,0.166666667,0,73.09,69.4355,46.54847096,29.31883152,75.6,23.87,92.82,88.179,59.1138196,37.23319116,48.38,24.82,24.26141124,43.13139776,0,507.2564527,Foundation,120.638361,Efo_80_a,0.905714286,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.0315102,EAm_80_a,3.59,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,120.638361,KDo_82_a,0.6,,,REN_02_a,0.1525,REN_02_a,0.1525,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,212.745437,AWI_81_a,0.48,,,REN_01_a,0.2175,REN_01_a,0.1275,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",278.228981,IWm_64_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",463.6969389,IWm_74_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,482.5534438,GDm_76_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,120.638361,DAI_74_a,0.4,REN_05_a,0.18,REN_05_a,0.18,REN_05_a,0.09,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.19259199,AWI_81_a,2.1,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HEA-1990-1999-11,AT,Non-residential,Health (HEA),1990,1999,Standard,Steel,616.1787076,505.2665403,86.84268661,1848.536123,5,10,0,2065,173,51,25,0,0.833333333,0.166666667,0,51.07,48.5165,41.68130782,34.17657331,58.21,23.87,64.86,61.617,52.9361587,43.40498423,37.25,24.82,24.26141124,43.13139776,0,518.0122057,Foundation,123.2357415,Efo_00_a,0.378461538,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,248.6659721,EAm_02_a,0.378461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,123.2357415,KDu_02_a,0.5,,,REN_02_a,0.1325,REN_02_a,0.1325,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,214.9431827,AWI_81_a,0.48,,,REN_01_a,0.23,REN_01_a,0.16,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",284.2193355,IWm_64_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",473.6804749,IWI_01_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,492.9429661,GDm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,123.2357415,DAm_04_a,0.3,REN_05_a,0.1325,REN_05_a,0.1325,REN_05_a,0.075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,75.78998104,Win_01_p,1.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HEA-2000-2010-21,AT,Non-residential,Health (HEA),2000,2010,Standard,Concrete,623.2712582,511.0824317,91.26471995,1869.813775,5,10,0,3360,0,0,0,0,0.833333333,0.166666667,0,36.91,0,0,0,65.78,23.87,46.88,0,0,0,42.1,24.82,24.26141124,43.13139776,0,523.8862561,Foundation,124.6542516,Efo_00_a,0.345961538,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,250.0930173,EAm_02_a,0.345961538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,124.6542516,KDu_02_a,0.45,,,,,,,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,216.1329555,AWm_14_a,0.32,,,,,,,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",287.4908539,IWm_11_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",479.1327937,IWI_01_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,498.6170066,GDm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.6542516,DAm_04_a,0.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,76.66236476,Win_01_p,1.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-11,AT,Non-residential,Health (HEA),2011,2022,Standard,Masonry,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,2909,0,0,0,0,0.909090909,0.090909091,0,22.75,0,0,0,60.09,23.87,28.89,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.69,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.388461538,,,,,,,district heating,DIH_01_r,0.23,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.4,,,,,,,electric direct heating,ELE_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_16_a,0.35,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_11_a,,,,,,,,heat pump,HEP_01_r,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAm_04_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_a,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-21,AT,Non-residential,Health (HEA),2011,2022,Standard,Concrete,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,2459,0,0,0,0,0.909090909,0.090909091,0,22.75,0,0,0,60.09,23.87,28.89,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.69,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.388461538,,,,,,,district heating,DIH_01_r,0.23,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.4,,,,,,,electric direct heating,ELE_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_14_a,0.35,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_11_a,,,,,,,,heat pump,HEP_01_r,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDm_06_a,0.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAm_04_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_a,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-31,AT,Non-residential,Health (HEA),2011,2022,Standard,Wood massive,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,630,0,0,0,0,0.909090909,0.090909091,0,22.75,0,0,0,60.09,23.87,28.89,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.69,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.388461538,,,,,,,district heating,DIH_01_r,0.23,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.4,,,,,,,electric direct heating,ELE_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_09_a,0.35,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_06_a,,,,,,,,heat pump,HEP_01_r,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDh_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAh_02_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_01_m,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-12,AT,Non-residential,Health (HEA),2011,2022,Advanced,Masonry,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,2116,0,0,0,0,0.909090909,0.090909091,0,15,0,0,0,60.09,23.87,19.04835165,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.69,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.2375,,,,,,,district heating,DIH_01_r,0.23,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.2375,,,,,,,electric direct heating,ELE_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_16_a,0.17,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_11_a,,,,,,,,heat pump,HEP_01_r,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAm_04_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_a,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-22,AT,Non-residential,Health (HEA),2011,2022,Advanced,Concrete,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,1788,0,0,0,0,0.909090909,0.090909091,0,15,0,0,0,60.09,23.87,19.04835165,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.69,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.2375,,,,,,,district heating,DIH_01_r,0.23,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.2375,,,,,,,electric direct heating,ELE_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_14_a,0.17,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_11_a,,,,,,,,heat pump,HEP_01_r,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAm_04_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_a,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-32,AT,Non-residential,Health (HEA),2011,2022,Advanced,Wood massive,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,459,0,0,0,0,0.909090909,0.090909091,0,15,0,0,0,60.09,23.87,19.04835165,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.69,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.2375,,,,,,,district heating,DIH_01_r,0.23,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.2375,,,,,,,electric direct heating,ELE_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_09_a,0.17,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_06_a,,,,,,,,heat pump,HEP_01_r,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDh_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAh_02_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_m,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-13,AT,Non-residential,Health (HEA),2011,2022,Passive,Masonry,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,265,0,0,0,0,0.909090909,0.090909091,0,15,0,0,0,60.09,23.87,19.04835165,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.34,,district heating,DIH_01_r,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.16,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_16_a,,,,,,,,heat pump,HEP_01_r,0.64,,heat pump,HEP_01_r,0.64
